food_name,calories_per_g,protein_g_per_g,carbs_g_per_g,fat_g_per_g,fiber_g_per_g,sugar_g_per_g,vegetarian,vegan,gluten_free,dairy_free,egg_free,peanut_free,tree_nut_free,soy_free,fish_free,shellfish_free,classification_method
Coco pine cooler,0.3275,0.0056,0.0572,0.01,0.0026,0.0552,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Summer cooler,0.2243,0.0037,0.0543,0.0004,0.002,0.0521,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Hot cocoa,0.901,0.0336,0.0923,0.0456,0,0.0901,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cold coffee with ice cream,0.6785,0.0157,0.1124,0.0211,0.0001,0.1118,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Banana milkshake (Kele milkshake),0.6531,0.0184,0.0915,0.0237,0.0026,0.0796,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Mango milkshake (Aam milkshake),0.569,0.0173,0.0723,0.0235,0.0026,0.0715,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Pineapple milkshake (Ananas milkshake),0.5572,0.0166,0.0762,0.0223,0,0.076,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Orange milkshake (Narangi milkshake),0.5742,0.0186,0.0711,0.0252,0,0.0708,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Egg nog,0.9714,0.0478,0.0815,0.0511,0.0002,0.0806,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Sweet Lassi (Meethi lassi),0.3566,0.0129,0.0651,0.0068,0,0.0651,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Lassi (salted),0.1884,0.0135,0.0186,0.0072,0.0002,0.0184,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cheese and chilli sandwich ,2.1811,0.068,0.274,0.0978,0.0208,0.0238,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Egg sandwich (Ande ka sandwich),2.8596,0.0869,0.2916,0.158,0.0188,0.0186,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cucumber sandwich (Kheere ka sandwich),1.886,0.048,0.2577,0.08,0.0245,0.0164,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),2.5771,0.082,0.291,0.128,0.0233,0.041,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),2.4332,0.0792,0.2692,0.1227,0.0197,0.0285,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Chicken sandwich,2.5327,0.1312,0.2538,0.1175,0.0164,0.016,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),2.9143,0.0953,0.2854,0.1614,0.0403,0.0282,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Rainbow sandwich,2.7275,0.0775,0.3426,0.1254,0.021,0.0405,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Club sandwich ,2.3532,0.0731,0.1851,0.1512,0.0181,0.0201,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Vegetarian club sandwich,1.9833,0.0545,0.1968,0.1133,0.0206,0.0208,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Pin wheel sandwich,3.1152,0.0877,0.14,0.2493,0.0093,0.0145,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Carrot apple sandwich (Gajar aur seb ka sandwich),2.1411,0.053,0.2904,0.0912,0.0366,0.053,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Salami sandwich,2.5559,0.087,0.2154,0.1551,0.0197,0.02,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Vegetable and mayonnaise sandwich,2.4426,0.0447,0.232,0.154,0.0235,0.0235,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Egg and tomato sandwich (Ande aur tamatar ka sandwich),2.2211,0.0766,0.259,0.1051,0.0177,0.0209,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Sweet open sandwich,2.4425,0.0499,0.3924,0.0815,0.0236,0.1223,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Mushroom and cheese sandwich (toasted),2.2742,0.0779,0.2101,0.1301,0.0228,0.0211,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),2.2458,0.0682,0.2142,0.1295,0.0178,0.0267,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Pea potato sandwich (toasted) (Matar aloo ka sandwich),1.649,0.046,0.2517,0.0543,0.0289,0.0133,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),2.4956,0.124,0.2405,0.1198,0.0212,0.064,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Chicken sandwich (toasted),1.6737,0.1208,0.1882,0.0532,0.0164,0.0213,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),1.7178,0.1106,0.2026,0.0561,0.0245,0.0194,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Classic club sandwich,2.0083,0.0674,0.1849,0.1156,0.0162,0.0186,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Sesame toast,4.9519,0.019,0.1115,0.4938,0.0132,0.0146,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cracked wheat porridge (Meetha daliya),0.8157,0.0264,0.0887,0.0408,0.0062,0.0512,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Semolina porridge (Suji/Rava daliya),1.0089,0.0375,0.1239,0.0408,0.007,0.0754,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Oatmeal Porridge,0.7285,0.026,0.0877,0.0322,0.0039,0.052,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cornflakes with milk,1.1733,0.0359,0.1495,0.0512,0.0078,0.0997,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Rice flakes (Chiwda/Aval),1.1244,0.0362,0.1557,0.0399,0.0037,0.0728,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Wheat flakes,1.1244,0.0362,0.1557,0.0399,0.0037,0.0728,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Murmura (Puffed rice),1.1332,0.0362,0.1567,0.0404,0.0028,0.0731,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Puffed wheat (Murmure/Moori),1.1332,0.0362,0.1567,0.0404,0.0028,0.0731,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Boiled egg (Ubla anda),0.4535,0.0443,0.0012,0.0304,0.0011,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Fried Egg ,2.2367,0.1159,0.0031,0.1962,0.0029,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Poached egg,1.2387,0.1198,0.0037,0.0819,0.003,0.0005,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Scrambled egg (Ande ki bhurji),1.5597,0.1029,0.0135,0.1221,0.0024,0.0108,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Baked egg ,2.1885,0.1188,0.1542,0.1265,0.0103,0.0166,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Plain omelette/omlet,2.7241,0.0966,0.0064,0.2574,0.0012,0.0051,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Stuffed egg omelette/omlet,2.0351,0.086,0.023,0.1777,0.0075,0.0157,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Pancake,2.0336,0.0568,0.2049,0.1082,0.0065,0.0332,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Keema pancake,1.7627,0.0901,0.0956,0.1125,0.0084,0.022,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Vegetable pancake,1.2518,0.0387,0.1224,0.0657,0.0248,0.0209,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Jam and fruit pancake,1.6202,0.0379,0.2073,0.0701,0.0121,0.0785,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Khoa and coconut pancake,2.7198,0.0698,0.2732,0.1529,0.0165,0.1647,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Brown stock,0.2132,0.0195,0.0025,0.0138,0.0009,0.0014,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Vegetable stock,0.176,0.003,0.0096,0.0138,0.0038,0.0044,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Chicken stock,0.2988,0.0369,0.0037,0.0151,0.001,0.002,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Clear tomato soup (Tamatar ka soup),0.8007,0.0479,0.0345,0.1222,0.0196,0.0144,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Lentil soup,0.3117,0.0965,0.0394,0.1168,0.0257,0.0106,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Chicken consomme (Clear chicken soup),0.4794,0.1147,0.0119,0.1202,0.0157,0.0054,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cream of tomato soup,0.9781,0.0461,0.0393,0.1312,0.0138,0.0181,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cream of green peas soup,1.2784,0.0713,0.0675,0.1478,0.0295,0.0161,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cream of spinach soup,1.0054,0.0521,0.0345,0.1331,0.0174,0.0113,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cream of mixed vegetable soup,0.5965,0.0684,0.0493,0.0905,0.0214,0.021,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cream of mushroom soup,1.1728,0.0664,0.0374,0.155,0.0134,0.0193,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Chicken sweet corn soup,0.2832,0.1448,0.0163,0.1259,0.0047,0.0027,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Minestrone soup,0.4266,0.093,0.0371,0.1109,0.0192,0.0101,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Egg drop soup,0.2664,0.1293,0.011,0.1352,0.0081,0.006,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Chinese cabbage and meat ball soup,4.8431,0.0521,0.0143,0.5657,0.0057,0.0037,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
French onion soup,0.5561,0.1141,0.0428,0.1439,0.0101,0.015,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Hot and sour soup,0.3151,0.0312,0.0178,0.0131,0.006,0.0066,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Talaumein soup,0.3563,0.1012,0.0417,0.1278,0.0194,0.0077,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cold cucumber soup (Thanda kheere ka soup),0.4803,0.0299,0.0458,0.0199,0.0088,0.0334,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cold summer garden soup,0.4919,0.0857,0.0265,0.1408,0.0186,0.0046,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Chapati/Roti,2.0231,0.0588,0.3565,0.0356,0.0631,0.01,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Plain parantha/paratha,2.983,0.0506,0.3069,0.1686,0.0543,0.0086,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Potato parantha/paratha (Aloo ka parantha/paratha),2.0504,0.037,0.2392,0.1022,0.0418,0.0115,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Radish parantha/paratha (Mooli ka parantha/paratha),1.8352,0.033,0.2054,0.0953,0.0432,0.0131,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),1.7807,0.0373,0.1884,0.0947,0.0468,0.0115,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Dal parantha/paratha,2.6824,0.0678,0.3003,0.1305,0.0646,0.0143,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Sprouted moong parantha/paratha,2.2859,0.0429,0.2431,0.1243,0.0449,0.0147,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Pea parantha/paratha (Matar ka parantha/paratha),1.9073,0.0559,0.2151,0.088,0.0561,0.0129,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Keema parantha/paratha,2.3809,0.0941,0.1836,0.1391,0.0344,0.0099,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Paneer parantha/paratha,2.6297,0.0798,0.2433,0.1462,0.04,0.0377,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),2.1649,0.0554,0.2139,0.1209,0.0439,0.0131,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Poori,7.3763,0.0135,0.0822,0.7761,0.0146,0.0023,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Spinach poori (Palak poori),6.8425,0.0142,0.0776,0.7186,0.0155,0.0024,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Methi poori,7.1002,0.0145,0.0798,0.746,0.0161,0.0026,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Dal stuffed poori,7.8516,0.0208,0.1014,0.8169,0.0196,0.0029,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Potato stuffed poori (Aloo ki poori),7.7674,0.0152,0.094,0.8135,0.0164,0.0026,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Tandoori parantha/paratha,2.9537,0.0508,0.3074,0.1651,0.0544,0.0086,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Boiled rice (Uble chawal),1.1719,0.026,0.2572,0.0018,0.0125,0.0022,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Plain pulao,1.4021,0.0234,0.2182,0.0462,0.0169,0.0115,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Mixed vegetable pulao,1.1305,0.0272,0.1749,0.0333,0.0267,0.0135,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Mushroom pulao,1.2429,0.0252,0.1902,0.0403,0.0188,0.01,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Sprouted moong pulao,1.1297,0.0219,0.1749,0.0361,0.0178,0.0143,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Paneer pulao,5.8191,0.0198,0.0876,0.5981,0.0062,0.0111,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Peanut pulao ,1.9328,0.0532,0.2118,0.0951,0.029,0.016,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Navratan pulao,2.6171,0.062,0.3698,0.0945,0.0382,0.0252,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),1.7343,0.0488,0.2757,0.0482,0.0315,0.0248,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Mutton biryani/biriyani,1.9076,0.0738,0.225,0.0772,0.0242,0.0239,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Vegetable biryani/biriyani,1.7461,0.0316,0.1856,0.0951,0.0331,0.0214,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",1.763,0.0426,0.2162,0.0788,0.0252,0.0078,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Sweet rice (Meethe chawal),2.1541,0.021,0.4259,0.0457,0.0113,0.248,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),1.9574,0.0575,0.3293,0.0432,0.0213,0.0391,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),3.7304,0.0745,0.6508,0.0853,0.0512,0.1165,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Spanish rice,1.6424,0.0419,0.311,0.0223,0.0278,0.0126,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Chinese fried rice,1.2058,0.0405,0.134,0.0543,0.0231,0.0147,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Macroni cheese pie,1.7063,0.0585,0.211,0.0748,0.004,0.034,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Vegetable chowmein,1.2971,0.0307,0.1544,0.0636,0.0186,0.0197,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Chicken chowmein,1.5133,0.0633,0.133,0.0823,0.0164,0.0163,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cheese noodle ring,1.3367,0.0622,0.1396,0.0612,0.0127,0.0284,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Spaghetti and cheese balls in tomato sauce,5.0832,0.0241,0.0782,0.5208,0.0059,0.0183,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Penne platter,1.774,0.0504,0.2087,0.0871,0.0109,0.045,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Pasta hot pot,1.2517,0.0584,0.116,0.0647,0.008,0.0599,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Chicken lasagne,1.8749,0.1045,0.139,0.1036,0.0011,0.0274,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Fettuccine with spinach sauce,1.2921,0.031,0.1219,0.0783,0.0077,0.0118,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Naan,2.8645,0.0805,0.5175,0.0499,0.0191,0.0559,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Bhatura,7.932,0.0163,0.1073,0.8256,0.0038,0.0069,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Idli,1.3754,0.0464,0.2818,0.0033,0.0231,0.0028,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Masala dosa,1.6458,0.0329,0.1957,0.0784,0.0252,0.0133,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Semolina dosa (Suji/Rava dosa),2.2705,0.073,0.3284,0.0712,0.0404,0.0437,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Onion tomato uttapam,4.6202,0.0191,0.1132,0.453,0.0126,0.008,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Paneer kaathi roll,2.8594,0.0692,0.201,0.1955,0.024,0.0329,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Makki ki roti,2.6397,0.0349,0.2419,0.1685,0.0519,0.007,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Washed moong dal (Dhuli moong ki dal),0.5,0.0268,0.0591,0.0168,0.0117,0.0012,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Washed urad dal (Dhuli urad ki dal),0.6132,0.0251,0.0584,0.0298,0.0153,0.0032,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
