food_name,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,vegetarian,vegan,gluten_free,dairy_free,egg_free,peanut_free,tree_nut_free,soy_free,fish_free,shellfish_free,classification_method
Chicken sandwich (toasted),167.37,12.08,18.82,5.32,1.64,2.13,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),171.78,11.06,20.26,5.61,2.45,1.94,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Classic club sandwich,200.83,6.74,18.49,11.56,1.62,1.86,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Sesame toast,495.19,1.9,11.15,49.38,1.32,1.46,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cracked wheat porridge (Meetha daliya),81.57,2.64,8.87,4.08,0.62,5.12,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Semolina porridge (Suji/Rava daliya),100.89,3.75,12.39,4.08,0.7,7.54,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Oatmeal Porridge,72.85,2.6,8.77,3.22,0.39,5.2,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cornflakes with milk,117.33,3.59,14.95,5.12,0.78,9.97,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Rice flakes (Chiwda/Aval),112.44,3.62,15.57,3.99,0.37,7.28,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Wheat flakes,112.44,3.62,15.57,3.99,0.37,7.28,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Murmura (Puffed rice),113.32,3.62,15.67,4.04,0.28,7.31,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Puffed wheat (Murmure/Moori),113.32,3.62,15.67,4.04,0.28,7.31,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Boiled egg (Ubla anda),45.35,4.43,0.12,3.04,0.11,0.0,True,False,True,True,False,True,True,True,True,True,inferred_from_dish_name_keywords
Fried Egg ,223.67,11.59,0.31,19.62,0.29,0.0,True,False,True,True,False,True,True,True,True,True,inferred_from_dish_name_keywords
Poached egg,123.87,11.98,0.37,8.19,0.3,0.05,True,False,True,True,False,True,True,True,True,True,inferred_from_dish_name_keywords
Scrambled egg (Ande ki bhurji),155.97,10.29,1.35,12.21,0.24,1.08,True,False,True,True,False,True,True,True,True,True,inferred_from_dish_name_keywords
Baked egg ,218.85,11.88,15.42,12.65,1.03,1.66,True,False,True,True,False,True,True,True,True,True,inferred_from_dish_name_keywords
Plain omelette/omlet,272.41,9.66,0.64,25.74,0.12,0.51,True,False,True,True,False,True,True,True,True,True,inferred_from_dish_name_keywords
Stuffed egg omelette/omlet,203.51,8.6,2.3,17.77,0.75,1.57,True,False,True,True,False,True,True,True,True,True,inferred_from_dish_name_keywords
Pancake,203.36,5.68,20.49,10.82,0.65,3.32,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Keema pancake,176.27,9.01,9.56,11.25,0.84,2.2,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Vegetable pancake,125.18,3.87,12.24,6.57,2.48,2.09,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Jam and fruit pancake,162.02,3.79,20.73,7.01,1.21,7.85,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Khoa and coconut pancake,271.98,6.98,27.32,15.29,1.65,16.47,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Brown stock,21.32,1.95,0.25,1.38,0.09,0.14,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Vegetable stock,17.6,0.3,0.96,1.38,0.38,0.44,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Chicken stock,29.88,3.69,0.37,1.51,0.1,0.2,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Clear tomato soup (Tamatar ka soup),80.07,4.79,3.45,12.22,1.96,1.44,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
