food_name,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,vegetarian,vegan,gluten_free,dairy_free,egg_free,peanut_free,tree_nut_free,soy_free,fish_free,shellfish_free,classification_method
Raw banana kofta curry (Kela kofta curry),627.27,0.62,3.4,67.98,0.59,2.3,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cauliflower kofta curry (Phoolgobhi kofta curry),641.1,1.04,2.62,69.62,1.0,0.83,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cabbage kofta curry (Pattagobhi kofta curry),639.81,0.98,2.87,69.4,0.9,0.89,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Ghiya/Lauki Kofta Curry,638.71,0.89,2.71,69.4,0.83,0.82,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Spinach paneer kofta curry (Palak paneer kofta curry),606.03,1.43,2.94,65.41,0.75,1.16,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Vegetarian egg kofta curry,627.41,1.33,4.26,67.24,0.64,1.19,True,False,True,True,False,True,True,True,True,True,inferred_from_dish_name_keywords
Baked vegetables,88.99,3.67,8.44,4.44,2.34,2.56,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cauliflower musallam (Phoolgobhi musallam),58.83,1.89,4.48,3.55,3.06,1.71,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Baked vegetables with spinach ,77.79,3.22,6.93,4.03,2.33,2.09,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Baked potato with skin ,135.77,3.43,11.11,8.5,1.2,1.66,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Shepherd's pie (vegetarian),135.63,5.04,12.03,7.3,2.23,2.78,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Baked brinjal in tomato sauce,38.63,1.58,4.13,1.62,2.34,2.2,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Dum aloo,682.33,0.7,3.33,74.01,0.68,0.71,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Spinach paneer (Palak paneer),77.68,4.03,4.43,4.76,1.91,2.55,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Methi chaman,475.62,1.54,2.78,50.91,0.53,1.79,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Sarson ka saag,87.84,3.0,5.33,5.86,3.69,0.75,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Jackfruit sabzi (Kathal ki sabzi),625.4,0.69,3.4,67.6,1.02,2.59,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Avial,124.56,2.46,8.47,8.94,5.44,3.83,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Al yakhani,147.54,2.86,4.65,13.14,1.27,3.56,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Shahi paneer,156.5,5.06,6.64,12.34,1.4,5.01,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Paneer in butter sauce,145.61,6.99,9.7,8.81,1.5,7.49,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Methi malai paneer,194.98,7.34,8.15,14.76,1.47,6.0,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Chilli paneer,777.51,2.1,3.31,84.01,0.5,1.5,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Paneer makhana korma,775.82,3.24,4.63,82.76,0.21,1.84,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Kadhai Paneer,107.99,4.33,7.34,6.81,2.07,5.54,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Roghan josh,139.59,9.56,4.93,9.02,2.08,2.66,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Spinach mutton (Palak mutton),80.32,5.74,3.45,4.71,2.23,1.42,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Pea keema curry (Matar keema ki sabzi),133.0,8.43,6.24,8.14,2.96,1.82,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Keema kofta curry,154.45,9.77,5.64,10.39,1.51,2.14,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Kashmiri mutton koftas (Gushtaba),97.42,6.33,3.04,6.77,0.62,2.13,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Mutton yakhni,104.13,8.27,0.84,7.7,0.67,0.13,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Chicken yakhni,99.0,10.66,0.78,6.1,0.62,0.12,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Mutton do piaza,183.3,9.39,4.14,14.41,1.93,2.9,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Mutton chops,663.64,4.03,1.48,71.31,0.17,0.42,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Shammi kebab,685.69,4.52,3.54,72.61,1.05,0.31,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Scotch egg,676.89,4.05,1.91,72.62,0.36,0.3,True,False,True,True,False,True,True,True,True,True,inferred_from_dish_name_keywords
Shepherd's pie (with minced meat),142.78,7.45,8.06,8.88,1.05,1.7,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Chicken curry,129.22,11.79,3.38,7.57,1.41,1.79,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Tandoori chicken,145.2,16.26,2.34,7.93,0.5,1.58,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Butter chicken,137.0,10.92,3.74,8.7,1.32,2.37,False,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Chicken kebab,729.41,3.71,1.11,78.89,0.21,0.24,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Chilli chicken,198.83,9.57,2.86,16.56,0.99,0.93,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),125.03,11.48,2.51,7.61,1.13,1.16,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Fish curry (Machli curry),111.13,8.76,3.77,6.69,1.89,2.02,False,False,True,True,True,True,True,True,False,True,inferred_from_dish_name_keywords
Fried fish (Indian style) (Tali hui machli),658.54,4.35,5.4,68.88,0.61,0.4,False,False,True,True,True,True,True,True,False,True,inferred_from_dish_name_keywords
Fried fish and Chips (English Style) (Tali hui machli aur chips),651.75,3.36,2.77,69.69,0.29,0.17,False,False,True,True,True,True,True,True,False,True,inferred_from_dish_name_keywords
Tomato fish,489.79,2.39,3.18,51.91,0.72,1.35,False,False,True,True,True,True,True,True,False,True,inferred_from_dish_name_keywords
Baked fish with cheese sauce,113.96,8.64,4.06,7.02,0.08,3.22,False,False,True,False,True,True,True,True,False,True,inferred_from_dish_name_keywords
Fish tikka,117.33,16.0,3.91,4.15,1.18,1.18,False,False,True,True,True,True,True,True,False,True,inferred_from_dish_name_keywords
Tandoori fish,95.98,11.19,2.37,4.64,0.58,1.6,False,False,True,True,True,True,True,True,False,True,inferred_from_dish_name_keywords
"Paneer, apple and pineapple salad",95.08,3.88,8.35,5.07,1.65,6.36,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Russian salad,114.83,4.26,6.5,7.84,2.57,1.66,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Pasta salad,190.36,4.15,12.7,13.92,0.96,2.6,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Deviled egg,98.56,4.97,2.23,7.72,1.15,0.82,True,False,True,True,False,True,True,True,True,True,inferred_from_dish_name_keywords
Hawain salad,175.23,4.27,14.35,11.37,3.93,5.24,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Mixed pulse and vegetable salad,83.12,4.74,13.96,0.84,2.96,1.36,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Sprouted moong salad ,37.81,2.29,5.48,0.74,0.95,2.13,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Tossed salad,62.96,1.02,4.95,4.22,2.15,1.56,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Mixed vegetable salad with curd sauce,60.28,4.23,7.03,1.5,3.79,2.16,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Potato salad (Aloo ka salaad),89.91,1.4,11.19,4.4,1.32,3.94,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Waldroff salad,141.75,1.47,11.02,10.05,1.87,8.23,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Coleslaw,76.71,1.24,5.59,5.32,2.34,3.62,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Fruit salad (Phalon ka salaad),78.14,0.91,15.96,1.22,1.58,9.78,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Tomato onion raita (Tamatar aur pyaaz ka raita),59.0,3.74,7.08,1.84,0.97,5.98,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Peanut raita (Mungfali ka raita),150.39,8.59,9.3,8.98,1.89,7.11,True,True,True,True,True,False,True,True,True,True,inferred_from_dish_name_keywords
Sprouted moong raita ,60.89,4.62,6.13,2.19,0.16,5.59,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Bottle gourd raita (Ghiya/Lauki ka raita),56.31,3.98,5.76,2.07,0.85,5.25,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cucumber raita (Kheere ka raita),59.13,4.04,6.35,2.08,0.86,5.22,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Carrot and spinach raita (Gajar aur palak ka raita),56.83,4.0,5.83,1.99,1.39,4.93,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Mint raita (Pudinay ka raita),77.59,5.64,7.65,2.96,0.34,7.48,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Potato raita (Aloo ka raita),75.38,4.22,10.24,2.04,0.75,5.08,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Boondi raita,687.72,2.19,3.96,73.83,0.46,1.88,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Sweet raita (Meetha raita),99.24,3.24,17.93,1.78,1.02,15.36,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Dahi vadas/Dahi bhalla,667.73,2.96,5.49,70.4,0.97,1.78,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Gunjia,667.34,2.98,5.68,70.28,1.13,2.05,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Saunth/Sonth chutney with tamarind/imli,141.53,1.01,33.55,0.15,0.93,31.31,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Rice kheer (Chawal ki kheer),75.03,2.3,10.05,2.97,0.17,8.02,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Makhana kheer,107.85,3.31,12.88,5.0,0.11,11.54,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Vermicelli kheer (Semiya/Seviyan ki kheer),120.07,3.35,15.87,5.0,0.5,12.79,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Semolina kheer (Suji/Rava kheer),113.21,3.43,15.88,4.2,0.51,12.88,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Paneer kheer,105.31,4.53,10.03,5.37,0.07,9.87,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cabbage kheer (Pattagobhi ki kheer),83.51,2.87,9.73,3.8,0.51,9.28,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Carrot kheer (Gajar ki kheer),85.35,2.81,10.09,3.85,0.73,9.63,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cauliflower kheer (Phoolgobhi ki kheer),81.95,3.04,8.78,3.95,0.55,8.49,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Moong dal kheer,77.16,2.95,9.89,2.97,0.4,7.92,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Phirni,116.12,3.49,16.11,4.34,0.36,10.79,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Semolina halwa (Suji ka halwa),225.65,2.16,24.67,13.38,1.86,13.98,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Shahi suji halwa,382.34,3.48,44.44,21.73,2.96,27.21,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Carrot halwa (Gajar ka halwa),172.64,3.11,18.53,9.73,2.65,16.85,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Egg halwa (Ande ka halwa),299.74,7.85,39.59,13.41,0.49,37.85,True,False,True,True,False,True,True,True,True,True,inferred_from_dish_name_keywords
Potato halwa (Aloo ka halwa),151.66,1.53,29.18,3.48,1.64,17.42,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Pumpkin halwa (Kaddu ka halwa),190.27,1.33,27.6,8.81,2.97,26.64,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Moong dal halwa,349.8,8.35,40.23,17.68,2.65,25.59,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Caramel custard (steamed),121.58,4.97,15.02,4.87,0.0,14.98,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Baked custard,106.53,5.41,9.45,5.3,0.0,9.42,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Soft Custard (stirred),109.18,5.01,11.19,5.07,0.0,11.15,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Chocolate ice cream,177.7,4.47,15.41,11.25,0.0,15.33,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Mango ice cream,125.69,3.4,11.14,7.62,0.52,11.01,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Fruit Ice cream (Phalon ka Ice cream),171.46,4.37,16.05,10.38,0.33,14.03,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Caramel ice cream,173.52,4.31,14.81,11.15,0.08,14.52,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Lemon souffle,168.51,6.95,13.43,10.02,0.0,11.67,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Orange souffle,168.28,6.8,14.2,9.73,0.22,12.31,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Vanilla souffle,187.85,7.71,14.78,11.19,0.0,12.86,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Chocolate souffle,189.32,7.88,14.74,11.36,0.0,12.69,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Pineapple souffle ,196.14,8.06,15.52,11.72,0.0,13.45,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Apple mousse,106.92,4.21,12.77,4.27,1.6,10.56,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Rich chocolate mousse,188.26,7.96,10.84,12.19,0.0,10.3,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Mango mousse,124.98,3.21,9.14,8.47,0.88,8.89,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Orange and pineapple cream,101.18,1.44,11.96,5.43,1.03,11.37,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Charlotte rousse,188.29,3.95,34.08,4.78,1.01,20.48,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Triffle pudding,116.97,2.93,18.24,3.93,0.12,13.89,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Snow flakes pudding,95.21,4.67,8.07,4.97,0.03,8.01,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Kulfi,98.43,3.21,11.3,4.7,0.12,10.39,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Steamed orange pudding,278.03,2.34,41.53,12.04,0.58,26.53,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Meringue and rice pudding,112.93,4.84,14.6,4.05,0.17,10.87,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cheese pudding,285.01,11.29,19.27,18.37,0.05,18.63,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Chocolate pudding,211.96,3.55,29.59,9.48,0.53,20.68,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Bread and butter pudding ,167.94,5.59,19.63,7.88,0.98,11.84,True,False,False,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Queen of pudding,132.92,5.51,16.35,5.38,0.27,11.77,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Pineapple upside down pudding,257.73,3.15,35.73,11.91,0.8,22.16,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Date and nut pie,322.42,3.93,46.86,13.31,4.13,31.18,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Stewed apple with custard,92.87,1.27,18.36,1.82,1.01,15.46,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Apple snowballs,101.51,0.86,24.58,0.31,1.25,19.4,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Hot orange souffle,179.97,6.87,18.77,8.95,0.29,14.93,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Hot chocolate souffle,226.09,6.7,26.21,11.1,0.12,22.88,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Hot vanilla souffle,192.93,6.87,21.77,9.07,0.13,18.17,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Plain burfi (Burfi),408.32,9.82,30.88,27.96,0.17,30.43,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Coconut burfi (Nariyal ki burfi),467.64,8.81,32.15,34.63,3.5,31.5,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Bottle gourd burfi (Ghiya/Lauki burfi),275.96,5.86,24.51,17.68,0.73,23.92,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Chocolate burfi,339.33,13.0,33.15,17.86,0.0,32.38,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cashewnut burfi (Kaju burfi/Kaju katli),421.74,5.48,37.92,28.46,1.12,31.43,True,True,True,True,True,True,False,True,True,True,inferred_from_dish_name_keywords
Gram flour burfi (Besan burfi),421.79,11.19,46.59,22.41,3.41,28.44,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),428.71,6.71,52.86,21.86,4.68,33.28,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),464.43,5.68,50.9,27.03,6.69,27.32,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Gram flour ladoo (Besan ladoo),476.91,8.93,62.61,22.76,4.43,37.76,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Sesame ladoo (Til ke ladoo),396.96,10.7,43.5,19.64,7.72,38.63,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Chenna murki,252.69,10.46,36.01,8.2,0.0,35.55,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Milk cake,127.41,3.01,9.13,8.93,0.06,8.9,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Ghujia/Lavang latika,768.98,1.86,13.0,78.93,0.52,6.08,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Gulab Jamun with khoya,586.06,2.03,26.09,53.23,0.07,24.12,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Mal pua,566.68,1.71,17.56,54.64,0.62,11.77,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Shahi tukre,189.81,2.76,41.46,2.54,0.51,34.7,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Potato pakora/pakoda (Aloo pakoda),677.19,1.9,6.04,71.84,1.03,0.22,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Onion pakora/pakoda (Pyaaz ke pakode),674.61,1.9,5.41,71.84,1.11,0.88,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),671.63,1.98,4.52,71.86,1.26,0.23,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Mixed vegetable pakora/pakoda,673.81,1.94,5.12,71.86,1.13,0.38,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Spinach pakora/pakoda (Palak pakoda),712.62,1.96,4.68,76.38,1.02,0.2,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Methi pakora/pakoda (Methi ke pakode),713.25,2.06,4.68,76.39,1.18,0.25,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Egg pakora/pakoda (Ande ke pakode),710.51,2.83,4.48,75.86,0.86,0.19,True,False,True,True,False,True,True,True,True,True,inferred_from_dish_name_keywords
Bread pakora/pakoda,710.99,2.57,8.87,74.2,1.11,0.46,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Paneer pakora/pakoda,718.12,3.27,5.52,76.05,0.89,1.08,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Potato bonda (Aloo bonda),632.84,1.09,4.53,67.8,0.83,0.27,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Potato samosa (Aloo ka samosa),577.39,1.71,9.21,59.19,1.19,0.29,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Minced meat samosa (Keema ka samosa),620.99,4.43,6.14,64.26,0.39,0.5,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Paneer and pea samosa (Paneer matar ka samosa),623.81,4.02,8.55,63.65,1.02,1.69,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Mathri,805.12,1.75,12.32,83.1,0.6,0.29,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Khasta kachori,712.73,2.51,12.81,72.27,0.97,0.34,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Vegetable cutlet,665.45,1.25,4.68,71.33,0.93,0.35,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),701.71,1.76,7.39,73.89,0.86,0.27,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Peanut cutlet (Mungfali ke cutlet),698.77,2.63,5.68,74.0,1.21,0.51,True,True,True,True,True,False,True,True,True,True,inferred_from_dish_name_keywords
Fish cutlet (Machli ka cutlet),654.64,2.77,3.13,70.11,0.54,0.29,False,False,True,True,True,True,True,True,False,True,inferred_from_dish_name_keywords
Paneer potato cutlet (Paneer aloo cutlet),672.94,2.47,5.23,71.4,0.41,1.02,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Spinach chickpeas cutlet (Palak channa dal cutlet),688.03,1.44,4.93,73.6,0.93,0.16,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cheese toast,785.37,1.98,5.49,84.11,0.31,0.53,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Vegetable burger,519.93,3.26,13.69,50.63,1.7,1.88,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cheese pizza,249.5,5.79,30.62,12.43,1.95,3.42,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Vegetable seekh kebab,690.73,1.57,5.32,73.72,0.59,0.74,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Masala vada,826.02,1.69,4.06,89.15,1.07,0.24,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Peanut sago vada (Sabudana mungfali vada),749.89,1.01,7.14,79.82,0.62,0.19,True,True,True,True,True,False,True,True,True,True,inferred_from_dish_name_keywords
Vegeterian scotch egg,681.67,2.16,4.64,72.77,0.58,0.23,True,False,True,True,False,True,True,True,True,True,inferred_from_dish_name_keywords
Paneer shaslik/tikka,93.85,5.11,7.98,4.49,1.23,4.61,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Peanut brittle (Moongfali ki chikki),320.46,6.94,47.46,11.13,2.63,43.92,True,True,True,True,True,False,True,True,True,True,inferred_from_dish_name_keywords
Spring roll,623.87,1.81,8.56,64.63,0.67,0.6,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Dry mango chutney (Sookhe aam ki chutney),298.13,2.43,69.17,0.7,3.74,61.86,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Peanut chutney (Mungfali ki chutney),258.37,11.8,9.87,19.06,5.73,2.76,True,True,True,True,True,False,True,True,True,True,inferred_from_dish_name_keywords
Coconut chutney (Nariyal ki chutney),265.92,3.59,8.29,25.0,6.73,3.79,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),102.6,2.81,21.18,0.51,4.33,15.88,True,False,True,True,False,True,True,True,True,True,inferred_from_dish_name_keywords
Custard tart,225.6,3.72,28.66,10.73,0.91,9.31,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Lemon tart,303.35,6.12,30.68,17.45,0.81,10.68,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Jam tart,360.72,4.42,46.18,17.35,1.14,14.74,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Orange cream tart,197.16,2.58,27.43,8.72,0.64,10.08,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Pineapple tart,195.4,2.29,28.62,8.21,0.87,11.09,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cheese and mushroom tart,246.1,5.51,21.43,15.28,1.18,3.16,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cottage cheese pie,238.98,7.45,20.66,13.83,2.21,3.62,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Minced meat pie,221.55,7.38,18.11,13.04,2.33,1.42,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Apple cinnamon pie,258.73,3.35,33.68,12.21,1.77,11.95,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Lemon meringue pie,224.43,3.88,35.11,8.16,0.44,21.17,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Chocolate meringue pie,214.76,4.98,28.8,9.17,0.37,15.03,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cream puffs,221.33,4.7,16.0,15.48,0.38,5.94,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Chocolate eclairs,239.42,4.24,26.22,13.5,0.33,17.34,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cheese balls,681.28,2.21,4.81,72.57,0.18,0.63,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Minced meat patties,265.72,6.88,15.25,19.57,0.77,0.88,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
