food_name,calories_per_g,protein_g_per_g,carbs_g_per_g,fat_g_per_g,fiber_g_per_g,sugar_g_per_g,vegetarian,vegan,gluten_free,dairy_free,egg_free,peanut_free,tree_nut_free,soy_free,fish_free,shellfish_free,classification_method,calories_per_g_original
Sprouted moong pulao,1.1121,0.0219,0.1749,0.0361,0.0178,0.0143,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.1297
Paneer pulao,5.8125,0.0198,0.0876,0.5981,0.0062,0.0111,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,5.8191
Peanut pulao ,1.9159,0.0532,0.2118,0.0951,0.029,0.016,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.9328
Navratan pulao,2.5777,0.062,0.3698,0.0945,0.0382,0.0252,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.6171
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),1.7318,0.0488,0.2757,0.0482,0.0315,0.0248,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.7343
Mutton biryani/biriyani,1.89,0.0738,0.225,0.0772,0.0242,0.0239,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.9076
Vegetable biryani/biriyani,1.7247,0.0316,0.1856,0.0951,0.0331,0.0214,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.7461
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",1.7444,0.0426,0.2162,0.0788,0.0252,0.0078,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.763
Sweet rice (Meethe chawal),2.1989,0.021,0.4259,0.0457,0.0113,0.248,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.1541
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),1.936,0.0575,0.3293,0.0432,0.0213,0.0391,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.9574
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),3.6689,0.0745,0.6508,0.0853,0.0512,0.1165,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,3.7304
Spanish rice,1.6123,0.0419,0.311,0.0223,0.0278,0.0126,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.6424
Chinese fried rice,1.1867,0.0405,0.134,0.0543,0.0231,0.0147,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.2058
Macroni cheese pie,1.7512,0.0585,0.211,0.0748,0.004,0.034,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.7063
Vegetable chowmein,1.3128,0.0307,0.1544,0.0636,0.0186,0.0197,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.2971
Chicken chowmein,1.5259,0.0633,0.133,0.0823,0.0164,0.0163,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.5133
Cheese noodle ring,1.358,0.0622,0.1396,0.0612,0.0127,0.0284,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.3367
Spaghetti and cheese balls in tomato sauce,5.0964,0.0241,0.0782,0.5208,0.0059,0.0183,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,5.0832
Penne platter,1.8203,0.0504,0.2087,0.0871,0.0109,0.045,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.774
Pasta hot pot,1.2799,0.0584,0.116,0.0647,0.008,0.0599,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.2517
Chicken lasagne,1.9064,0.1045,0.139,0.1036,0.0011,0.0274,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.8749
Fettuccine with spinach sauce,1.3163,0.031,0.1219,0.0783,0.0077,0.0118,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.2921
Naan,2.8411,0.0805,0.5175,0.0499,0.0191,0.0559,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.8645
Bhatura,7.9248,0.0163,0.1073,0.8256,0.0038,0.0069,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,7.932
Idli,1.3425,0.0464,0.2818,0.0033,0.0231,0.0028,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.3754
Masala dosa,1.62,0.0329,0.1957,0.0784,0.0252,0.0133,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.6458
Semolina dosa (Suji/Rava dosa),2.2464,0.073,0.3284,0.0712,0.0404,0.0437,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.2705
Onion tomato uttapam,4.6062,0.0191,0.1132,0.453,0.0126,0.008,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,4.6202
Paneer kaathi roll,2.8403,0.0692,0.201,0.1955,0.024,0.0329,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.8594
Makki ki roti,2.6237,0.0349,0.2419,0.1685,0.0519,0.007,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.6397
Washed moong dal (Dhuli moong ki dal),0.4948,0.0268,0.0591,0.0168,0.0117,0.0012,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.5
Washed urad dal (Dhuli urad ki dal),0.6022,0.0251,0.0584,0.0298,0.0153,0.0032,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.6132
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),0.7196,0.0279,0.071,0.036,0.0272,0.0105,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.7325
Dry washed urad,1.2154,0.0685,0.1566,0.035,0.0406,0.0073,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.2471
Mixed dal,0.611,0.0251,0.0579,0.031,0.0162,0.0034,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.6193
Whole moong (Moong ki dal),0.5292,0.0225,0.0522,0.0256,0.0202,0.0059,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.537
Whole masoor (Masoor ki dal),0.5328,0.0228,0.0537,0.0252,0.0198,0.0067,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.5405
Whole moth (Moth ki dal),0.5458,0.0201,0.0574,0.0262,0.0185,0.0066,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.55
Whole urad (Urad ki dal),0.5262,0.0221,0.0505,0.0262,0.0232,0.0057,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.538
Moti mahal dal (Urad rajmah mix dal),1.0162,0.0393,0.0874,0.0566,0.0338,0.017,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.0313
Black channa curry/Bengal gram curry (Kale chane ki curry),1.3861,0.0567,0.1411,0.0661,0.0799,0.0236,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.4068
Chickpeas curry (Safed channa curry),1.6588,0.061,0.1998,0.0684,0.0473,0.0478,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.6343
Lobia curry,1.4634,0.0606,0.1788,0.0562,0.0457,0.0251,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.4899
Soyabean curry,1.6047,0.1043,0.0676,0.1019,0.0734,0.0266,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,inferred_from_dish_name_keywords,1.6328
Kidney bean curry (Rajmah curry),1.4125,0.0595,0.1638,0.0577,0.0583,0.0249,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.4373
Sambar,0.951,0.0335,0.1057,0.0438,0.0352,0.0331,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.9692
Besan kadhi with pakodies,4.0411,0.0164,0.0356,0.4259,0.0081,0.0088,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,4.0335
Khatta channa,2.048,0.063,0.2114,0.1056,0.0526,0.0475,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.0257
Sprouted moong dal chat,0.3232,0.0135,0.0601,0.0032,0.0135,0.0157,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.3247
Potato cauliflower (Aloo gobhi),1.0473,0.019,0.0599,0.0813,0.0302,0.0044,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.0618
Potato capsicum (Shimla mirch aloo),1.2449,0.0141,0.0872,0.0933,0.0202,0.0054,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.2553
Cabbage and peas (Pattagobhi aur matar),0.6168,0.0324,0.0624,0.0264,0.0399,0.0097,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.6388
Carrot and fenugreek leaves (Gajar methi),0.5937,0.021,0.0417,0.0381,0.0443,0.0211,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.6192
Potato fenugreek (Aloo methi),1.3324,0.0225,0.0847,0.1004,0.0293,0.0054,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.3515
Brinjal bhartha (Baingan ka bhartha),0.6344,0.0138,0.044,0.0448,0.0327,0.0182,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.6512
Dry potato (Sookhe aloo),1.0162,0.0162,0.1438,0.0418,0.0188,0.0033,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.0315
Beans with coconut (Nariyal aur sem/phali; Beans thoran),1.3055,0.0262,0.0439,0.1139,0.0559,0.0206,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.3163
Cauliflower with coconut (Nariyal ke saath phoolgobhi),1.3056,0.0264,0.0399,0.1156,0.0527,0.0171,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.3211
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),1.0482,0.0182,0.0499,0.0862,0.0452,0.0236,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.0661
Raw turnip with coconut ,1.3355,0.018,0.0578,0.1147,0.0279,0.044,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.3215
Raw papaya with coconut (Papaya thoran),1.3126,0.0154,0.0558,0.1142,0.0431,0.0382,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.3275
Stuffed okra (Bharwa bhindi),0.9266,0.0208,0.0385,0.0766,0.0415,0.0048,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.9434
Stuffed round gourd (Bharwa tinde),0.7223,0.011,0.0402,0.0575,0.021,0.0196,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.728
Stuffed capsicum (Bharwa shimla mirch),0.897,0.0134,0.0826,0.057,0.0201,0.0121,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.9094
Stuffed brinjal (Bharwa baingan),0.9153,0.0153,0.0396,0.0773,0.0409,0.0092,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.93
Stuffed tomatoes (Bharwa tamatar),0.9242,0.0328,0.0619,0.0606,0.022,0.0268,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.9335
Pea potato curry (Aloo matar),0.9905,0.0348,0.0974,0.0513,0.0361,0.0186,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.0092
Pea paneer curry (Matar paneer),1.3335,0.0661,0.0929,0.0775,0.033,0.0389,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.3483
Pea mushroom curry (Matar mushroom),0.9156,0.0387,0.0741,0.0516,0.0386,0.0182,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.933
Pea curry (Matar ki sabzi),1.0083,0.0451,0.092,0.0511,0.0444,0.0198,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.0299
Pea vadi curry,0.9988,0.0464,0.089,0.0508,0.0428,0.0192,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.0195
Paneer curry,1.7622,0.078,0.084,0.1238,0.014,0.0629,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.7652
Lotus stem curry (Kamal kakdi curry),1.0833,0.0153,0.0924,0.0725,0.0314,0.0209,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.1034
Gravy for kofta,1.2539,0.0175,0.0631,0.1035,0.0196,0.0373,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.2559
Pea kofta curry (Matar kofta curry),5.9523,0.0201,0.0417,0.6339,0.017,0.0088,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,5.9566
Spinach kofta curry (Palak kofta curry),5.7201,0.0109,0.0356,0.6149,0.0092,0.0082,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,5.7178
Paneer kofta curry,6.7118,0.0239,0.0327,0.7206,0.004,0.0198,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.7091
Lotus stem kofta curry (Kamal kakdi kofta curry),6.3372,0.0096,0.0501,0.6776,0.0101,0.0088,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.3356
Raw banana kofta curry (Kela kofta curry),6.279,0.0062,0.034,0.6798,0.0059,0.023,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.2727
Cauliflower kofta curry (Phoolgobhi kofta curry),6.4122,0.0104,0.0262,0.6962,0.01,0.0083,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.411
Cabbage kofta curry (Pattagobhi kofta curry),6.4,0.0098,0.0287,0.694,0.009,0.0089,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.3981
Ghiya/Lauki Kofta Curry,6.39,0.0089,0.0271,0.694,0.0083,0.0082,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.3871
Spinach paneer kofta curry (Palak paneer kofta curry),6.0617,0.0143,0.0294,0.6541,0.0075,0.0116,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.0603
Vegetarian egg kofta curry,6.2752,0.0133,0.0426,0.6724,0.0064,0.0119,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.2741
Baked vegetables,0.884,0.0367,0.0844,0.0444,0.0234,0.0256,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.8899
Cauliflower musallam (Phoolgobhi musallam),0.5743,0.0189,0.0448,0.0355,0.0306,0.0171,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.5883
Baked vegetables with spinach ,0.7687,0.0322,0.0693,0.0403,0.0233,0.0209,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.7779
Baked potato with skin ,1.3466,0.0343,0.1111,0.085,0.012,0.0166,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.3577
Shepherd's pie (vegetarian),1.3398,0.0504,0.1203,0.073,0.0223,0.0278,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.3563
Baked brinjal in tomato sauce,0.3742,0.0158,0.0413,0.0162,0.0234,0.022,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.3863
Dum aloo,6.8221,0.007,0.0333,0.7401,0.0068,0.0071,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.8233
Spinach paneer (Palak paneer),0.7668,0.0403,0.0443,0.0476,0.0191,0.0255,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.7768
Methi chaman,4.7547,0.0154,0.0278,0.5091,0.0053,0.0179,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,4.7562
Sarson ka saag,0.8606,0.03,0.0533,0.0586,0.0369,0.0075,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.8784
Jackfruit sabzi (Kathal ki sabzi),6.2476,0.0069,0.034,0.676,0.0102,0.0259,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.254
Avial,1.2418,0.0246,0.0847,0.0894,0.0544,0.0383,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.2456
Al yakhani,1.483,0.0286,0.0465,0.1314,0.0127,0.0356,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.4754
Shahi paneer,1.5786,0.0506,0.0664,0.1234,0.014,0.0501,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.565
Paneer in butter sauce,1.4605,0.0699,0.097,0.0881,0.015,0.0749,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.4561
Methi malai paneer,1.948,0.0734,0.0815,0.1476,0.0147,0.06,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.9498
Chilli paneer,7.7773,0.021,0.0331,0.8401,0.005,0.015,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,7.7751
Paneer makhana korma,7.7632,0.0324,0.0463,0.8276,0.0021,0.0184,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,7.7582
Kadhai Paneer,1.0797,0.0433,0.0734,0.0681,0.0207,0.0554,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.0799
Roghan josh,1.3914,0.0956,0.0493,0.0902,0.0208,0.0266,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.3959
Spinach mutton (Palak mutton),0.7915,0.0574,0.0345,0.0471,0.0223,0.0142,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.8032
Pea keema curry (Matar keema ki sabzi),1.3194,0.0843,0.0624,0.0814,0.0296,0.0182,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.33
Keema kofta curry,1.5515,0.0977,0.0564,0.1039,0.0151,0.0214,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.5445
Kashmiri mutton koftas (Gushtaba),0.9841,0.0633,0.0304,0.0677,0.0062,0.0213,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.9742
Mutton yakhni,1.0574,0.0827,0.0084,0.077,0.0067,0.0013,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.0413
Chicken yakhni,1.0066,0.1066,0.0078,0.061,0.0062,0.0012,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.99
Mutton do piaza,1.8381,0.0939,0.0414,0.1441,0.0193,0.029,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.833
Mutton chops,6.6383,0.0403,0.0148,0.7131,0.0017,0.0042,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.6364
Shammi kebab,6.8573,0.0452,0.0354,0.7261,0.0105,0.0031,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.8569
Scotch egg,6.7742,0.0405,0.0191,0.7262,0.0036,0.003,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.7689
Shepherd's pie (with minced meat),1.4196,0.0745,0.0806,0.0888,0.0105,0.017,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.4278
Chicken curry,1.2881,0.1179,0.0338,0.0757,0.0141,0.0179,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.2922
Tandoori chicken,1.4577,0.1626,0.0234,0.0793,0.005,0.0158,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.452
Butter chicken,1.3694,0.1092,0.0374,0.087,0.0132,0.0237,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.37
Chicken kebab,7.2929,0.0371,0.0111,0.7889,0.0021,0.0024,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,7.2941
Chilli chicken,1.9876,0.0957,0.0286,0.1656,0.0099,0.0093,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.9883
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),1.2445,0.1148,0.0251,0.0761,0.0113,0.0116,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.2503
Fish curry (Machli curry),1.1033,0.0876,0.0377,0.0669,0.0189,0.0202,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,inferred_from_dish_name_keywords,1.1113
