food_name,calories_per_g,protein_g_per_g,carbs_g_per_g,fat_g_per_g,fiber_g_per_g,sugar_g_per_g,vegetarian,vegan,gluten_free,dairy_free,egg_free,peanut_free,tree_nut_free,soy_free,fish_free,shellfish_free,classification_method,calories_per_g_original
Cheese and chilli sandwich ,2.2482,0.068,0.274,0.0978,0.0208,0.0238,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.1811
Egg sandwich (Ande ka sandwich),2.936,0.0869,0.2916,0.158,0.0188,0.0186,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.8596
Cucumber sandwich (Kheere ka sandwich),1.9428,0.048,0.2577,0.08,0.0245,0.0164,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.886
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),2.644,0.082,0.291,0.128,0.0233,0.041,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.5771
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),2.4979,0.0792,0.2692,0.1227,0.0197,0.0285,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.4332
Chicken sandwich,2.5975,0.1312,0.2538,0.1175,0.0164,0.016,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.5327
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),2.9754,0.0953,0.2854,0.1614,0.0403,0.0282,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.9143
Rainbow sandwich,2.809,0.0775,0.3426,0.1254,0.021,0.0405,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.7275
Club sandwich ,2.3936,0.0731,0.1851,0.1512,0.0181,0.0201,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.3532
Vegetarian club sandwich,2.0249,0.0545,0.1968,0.1133,0.0206,0.0208,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.9833
Pin wheel sandwich,3.1545,0.0877,0.14,0.2493,0.0093,0.0145,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,3.1152
Carrot apple sandwich (Gajar aur seb ka sandwich),2.1944,0.053,0.2904,0.0912,0.0366,0.053,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.1411
Salami sandwich,2.6055,0.087,0.2154,0.1551,0.0197,0.02,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.5559
Vegetable and mayonnaise sandwich,2.4928,0.0447,0.232,0.154,0.0235,0.0235,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.4426
Egg and tomato sandwich (Ande aur tamatar ka sandwich),2.2883,0.0766,0.259,0.1051,0.0177,0.0209,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.2211
Sweet open sandwich,2.5027,0.0499,0.3924,0.0815,0.0236,0.1223,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.4425
Mushroom and cheese sandwich (toasted),2.3229,0.0779,0.2101,0.1301,0.0228,0.0211,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.2742
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),2.2951,0.0682,0.2142,0.1295,0.0178,0.0267,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.2458
Pea potato sandwich (toasted) (Matar aloo ka sandwich),1.6795,0.046,0.2517,0.0543,0.0289,0.0133,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.649
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),2.5362,0.124,0.2405,0.1198,0.0212,0.064,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.4956
Chicken sandwich (toasted),1.7148,0.1208,0.1882,0.0532,0.0164,0.0213,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.6737
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),1.7577,0.1106,0.2026,0.0561,0.0245,0.0194,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.7178
